"Date","Price","Open","High","Low","Change %"
"Jan 23, 1984","1.4059","1.4059","1.4059","1.4059","0.39%"
"Jan 20, 1984","1.4005","1.4005","1.4005","1.4005","-1.23%"
"Jan 19, 1984","1.4180","1.4180","1.4180","1.4180","0.28%"
"Jan 18, 1984","1.4140","1.4140","1.4140","1.4140","0.25%"
"Jan 17, 1984","1.4105","1.4105","1.4105","1.4105","-0.63%"
"Jan 16, 1984","1.4195","1.4195","1.4195","1.4195","0.67%"
"Jan 13, 1984","1.4100","1.4100","1.4100","1.4100","0.85%"
"Jan 12, 1984","1.3981","1.3981","1.3981","1.3981","0.13%"
"Jan 11, 1984","1.3963","1.3963","1.3963","1.3963","-0.43%"
"Jan 10, 1984","1.4024","1.4024","1.4024","1.4024","-0.03%"
"Jan 09, 1984","1.4028","1.4028","1.4028","1.4028","-0.30%"
"Jan 06, 1984","1.4070","1.4070","1.4070","1.4070","-0.39%"
"Jan 05, 1984","1.4125","1.4125","1.4125","1.4125","-0.34%"
"Jan 04, 1984","1.4173","1.4173","1.4173","1.4173","-0.80%"
"Jan 03, 1984","1.4287","1.4287","1.4287","1.4287","-1.57%"
"Dec 30, 1983","1.4515","1.4515","1.4515","1.4515","0.28%"
"Dec 29, 1983","1.4475","1.4475","1.4475","1.4475","0.80%"
"Dec 28, 1983","1.4360","1.4360","1.4360","1.4360","0.28%"
"Dec 27, 1983","1.4320","1.4320","1.4320","1.4320","0.03%"
"Dec 23, 1983","1.4315","1.4315","1.4315","1.4315","0.32%"
"Dec 22, 1983","1.4270","1.4270","1.4270","1.4270","0.32%"
"Dec 21, 1983","1.4225","1.4225","1.4225","1.4225","0.25%"
"Dec 20, 1983","1.4190","1.4190","1.4190","1.4190","0.06%"
"Dec 19, 1983","1.4182","1.4182","1.4182","1.4182","0.23%"
"Dec 16, 1983","1.4150","1.4150","1.4150","1.4150","-0.46%"
"Dec 15, 1983","1.4215","1.4215","1.4215","1.4215","0.46%"
"Dec 14, 1983","1.4150","1.4150","1.4150","1.4150","-0.11%"
"Dec 13, 1983","1.4165","1.4165","1.4165","1.4165","-0.99%"
"Dec 12, 1983","1.4307","1.4307","1.4307","1.4307","-0.30%"
"Dec 09, 1983","1.4350","1.4350","1.4350","1.4350","-0.45%"
"Dec 08, 1983","1.4415","1.4415","1.4415","1.4415","0.17%"
"Dec 07, 1983","1.4390","1.4390","1.4390","1.4390","-0.79%"
"Dec 06, 1983","1.4505","1.4505","1.4505","1.4505","0.35%"
"Dec 05, 1983","1.4455","1.4455","1.4455","1.4455","-0.80%"
"Dec 02, 1983","1.4572","1.4572","1.4572","1.4572","-0.04%"
"Dec 01, 1983","1.4578","1.4578","1.4578","1.4578","-0.36%"
"Nov 30, 1983","1.4630","1.4630","1.4630","1.4630","0.21%"
"Nov 29, 1983","1.4600","1.4600","1.4600","1.4600","0.09%"
"Nov 28, 1983","1.4587","1.4587","1.4587","1.4587","-0.05%"
"Nov 25, 1983","1.4595","1.4595","1.4595","1.4595","-0.55%"
"Nov 23, 1983","1.4675","1.4675","1.4675","1.4675","-0.44%"
"Nov 22, 1983","1.4740","1.4740","1.4740","1.4740","0.61%"
"Nov 21, 1983","1.4650","1.4650","1.4650","1.4650","-0.31%"
"Nov 18, 1983","1.4695","1.4695","1.4695","1.4695","-0.60%"
"Nov 17, 1983","1.4783","1.4783","1.4783","1.4783","-0.32%"
"Nov 16, 1983","1.4830","1.4830","1.4830","1.4830","-0.14%"
"Nov 15, 1983","1.4851","1.4851","1.4851","1.4851","0.07%"
"Nov 14, 1983","1.4840","1.4840","1.4840","1.4840","-0.47%"
"Nov 10, 1983","1.4910","1.4910","1.4910","1.4910","0.44%"
"Nov 09, 1983","1.4845","1.4845","1.4845","1.4845","-0.07%"
"Nov 07, 1983","1.4855","1.4855","1.4855","1.4855","-0.17%"
"Nov 04, 1983","1.4880","1.4880","1.4880","1.4880","0.07%"
"Nov 03, 1983","1.4870","1.4870","1.4870","1.4870","-0.01%"
"Nov 02, 1983","1.4871","1.4871","1.4871","1.4871","0.11%"
"Nov 01, 1983","1.4855","1.4855","1.4855","1.4855","-0.65%"
"Oct 31, 1983","1.4952","1.4952","1.4952","1.4952","0.01%"
"Oct 28, 1983","1.4950","1.4950","1.4950","1.4950","0.05%"
"Oct 27, 1983","1.4942","1.4942","1.4942","1.4942","-0.25%"
"Oct 26, 1983","1.4980","1.4980","1.4980","1.4980","-0.11%"
"Oct 25, 1983","1.4997","1.4997","1.4997","1.4997","0.15%"
"Oct 24, 1983","1.4975","1.4975","1.4975","1.4975","-0.29%"
"Oct 21, 1983","1.5018","1.5018","1.5018","1.5018","0.27%"
"Oct 20, 1983","1.4978","1.4978","1.4978","1.4978","-0.17%"
"Oct 19, 1983","1.5003","1.5003","1.5003","1.5003","-0.01%"
"Oct 18, 1983","1.5005","1.5005","1.5005","1.5005","0.00%"
"Oct 17, 1983","1.5005","1.5005","1.5005","1.5005","0.07%"
"Oct 14, 1983","1.4994","1.4994","1.4994","1.4994","-0.01%"
"Oct 13, 1983","1.4995","1.4995","1.4995","1.4995","-0.30%"
"Oct 12, 1983","1.5040","1.5040","1.5040","1.5040","-0.27%"
"Oct 11, 1983","1.5080","1.5080","1.5080","1.5080","-0.07%"
"Oct 07, 1983","1.5090","1.5090","1.5090","1.5090","1.25%"
"Oct 06, 1983","1.4903","1.4903","1.4903","1.4903","0.09%"
"Oct 05, 1983","1.4890","1.4890","1.4890","1.4890","0.95%"
"Oct 04, 1983","1.4750","1.4750","1.4750","1.4750","-0.57%"
"Oct 03, 1983","1.4835","1.4835","1.4835","1.4835","-0.95%"
